id x y z omega phi kappa
DJI_0001.JPG 7424608.901979 5554983.050651 320 0 0 0
DJI_0002.JPG 7424600.238592 5554981.349897 320 0 0 0
DJI_0003.JPG 7424591.588513 5554979.747852 320 0 0 0
DJI_0004.JPG 7424583.014927 5554978.076758 320 0 0 0
DJI_0005.JPG 7424574.799078 5554976.558215 320 0 0 0
DJI_0006.JPG 7424565.958248 5554974.813674 320 0 0 0
DJI_0007.JPG 7424557.454530 5554973.027302 320 0 0 0
DJI_0008.JPG 7424548.792550 5554971.428583 320 0 0 0
DJI_0009.JPG 7424540.230678 5554969.745032 320 0 0 0
DJI_0010.JPG 7424531.665832 5554968.132607 320 0 0 0
DJI_0011.JPG 7424523.354768 5554966.485707 320 0 0 0
DJI_0012.JPG 7424514.481581 5554964.843680 320 0 0 0
DJI_0013.JPG 7424505.930971 5554963.255815 320 0 0 0
DJI_0014.JPG 7424497.596494 5554961.640186 320 0 0 0
DJI_0015.JPG 7424489.108425 5554959.980393 320 0 0 0
DJI_0016.JPG 7424480.497141 5554958.177123 320 0 0 0
DJI_0017.JPG 7424472.024555 5554956.489327 320 0 0 0
DJI_0018.JPG 7424463.141053 5554954.822810 320 0 0 0
DJI_0019.JPG 7424454.491148 5554953.239522 320 0 0 0
DJI_0020.JPG 7424445.985655 5554951.614033 320 0 0 0
DJI_0021.JPG 7424437.370833 5554949.983926 320 0 0 0
DJI_0022.JPG 7424428.675816 5554948.302437 320 0 0 0
DJI_0023.JPG 7424420.173230 5554946.602786 320 0 0 0
DJI_0024.JPG 7424411.619146 5554944.774097 320 0 0 0
DJI_0025.JPG 7424402.965952 5554943.101327 320 0 0 0
DJI_0026.JPG 7424394.386222 5554941.566583 320 0 0 0
DJI_0027.JPG 7424386.128066 5554940.014936 320 0 0 0
DJI_0028.JPG 7424377.493168 5554938.372849 320 0 0 0
DJI_0029.JPG 7424368.835366 5554936.656938 320 0 0 0
DJI_0030.JPG 7424360.240677 5554934.909247 320 0 0 0
DJI_0031.JPG 7424351.635482 5554933.121547 320 0 0 0
DJI_0032.JPG 7424342.997289 5554931.529003 320 0 0 0
DJI_0033.JPG 7424334.664694 5554929.913599 320 0 0 0
DJI_0034.JPG 7424325.795529 5554928.284186 320 0 0 0
DJI_0035.JPG 7424317.183505 5554926.576979 320 0 0 0
DJI_0036.JPG 7424308.656076 5554924.952018 320 0 0 0
DJI_0037.JPG 7424300.135709 5554923.265170 320 0 0 0
DJI_0038.JPG 7424291.484866 5554921.623446 320 0 0 0
DJI_0039.JPG 7424282.948643 5554919.939940 320 0 0 0
DJI_0040.JPG 7424277.185383 5554918.658985 320 0 0 0
DJI_0041.JPG 7424278.383269 5554914.458058 320 0 0 0
DJI_0042.JPG 7424286.083787 5554916.045260 320 0 0 0
DJI_0043.JPG 7424294.634152 5554917.604969 320 0 0 0
DJI_0044.JPG 7424303.181838 5554919.396483 320 0 0 0
DJI_0045.JPG 7424312.141673 5554921.114185 320 0 0 0
DJI_0046.JPG 7424320.404512 5554922.712003 320 0 0 0
DJI_0047.JPG 7424328.913042 5554924.405231 320 0 0 0
DJI_0048.JPG 7424337.567973 5554926.056227 320 0 0 0
DJI_0049.JPG 7424346.153864 5554927.742207 320 0 0 0
DJI_0050.JPG 7424354.788965 5554929.396601 320 0 0 0
DJI_0051.JPG 7424363.306834 5554931.049581 320 0 0 0
DJI_0052.JPG 7424371.797242 5554932.727684 320 0 0 0
DJI_0053.JPG 7424380.405806 5554934.333055 320 0 0 0
DJI_0054.JPG 7424389.037132 5554936.003009 320 0 0 0
DJI_0055.JPG 7424397.586144 5554937.612341 320 0 0 0
DJI_0056.JPG 7424406.036676 5554939.281792 320 0 0 0
DJI_0057.JPG 7424414.543076 5554940.969006 320 0 0 0
DJI_0058.JPG 7424423.168639 5554942.654546 320 0 0 0
DJI_0059.JPG 7424431.778981 5554944.247614 320 0 0 0
DJI_0060.JPG 7424440.341064 5554945.940260 320 0 0 0
DJI_0061.JPG 7424448.946136 5554947.582871 320 0 0 0
DJI_0062.JPG 7424457.559453 5554949.247009 320 0 0 0
DJI_0063.JPG 7424466.385630 5554950.932869 320 0 0 0
DJI_0064.JPG 7424474.650576 5554952.546343 320 0 0 0
DJI_0065.JPG 7424483.226989 5554954.130703 320 0 0 0
DJI_0066.JPG 7424491.730959 5554955.790263 320 0 0 0
DJI_0067.JPG 7424500.296931 5554957.479860 320 0 0 0
DJI_0068.JPG 7424508.881209 5554959.200111 320 0 0 0
DJI_0069.JPG 7424517.452341 5554960.834041 320 0 0 0
DJI_0070.JPG 7424526.002362 5554962.520814 320 0 0 0
DJI_0071.JPG 7424534.642997 5554964.153789 320 0 0 0
DJI_0072.JPG 7424543.234061 5554965.793658 320 0 0 0
DJI_0073.JPG 7424551.756566 5554967.502491 320 0 0 0
DJI_0074.JPG 7424560.294779 5554969.198756 320 0 0 0
DJI_0075.JPG 7424569.286892 5554970.823728 320 0 0 0
DJI_0076.JPG 7424577.429418 5554972.494711 320 0 0 0
DJI_0077.JPG 7424586.012160 5554974.110046 320 0 0 0
DJI_0078.JPG 7424594.614583 5554975.712756 320 0 0 0
DJI_0079.JPG 7424603.161716 5554977.480033 320 0 0 0
DJI_0080.JPG 7424612.057746 5554979.196046 320 0 0 0
DJI_0081.JPG 7424620.338576 5554980.815699 320 0 0 0
DJI_0082.JPG 7424628.939339 5554982.443208 320 0 0 0
DJI_0083.JPG 7424637.468510 5554984.065561 320 0 0 0
DJI_0084.JPG 7424646.024759 5554985.777157 320 0 0 0
DJI_0085.JPG 7424654.688800 5554987.385273 320 0 0 0
DJI_0086.JPG 7424663.559455 5554989.135719 320 0 0 0
DJI_0087.JPG 7424671.787586 5554990.824177 320 0 0 0
DJI_0088.JPG 7424680.367582 5554992.390260 320 0 0 0
DJI_0089.JPG 7424689.275196 5554993.945554 320 0 0 0
DJI_0090.JPG 7424697.390033 5554995.771611 320 0 0 0
DJI_0091.JPG 7424706.077351 5554997.342401 320 0 0 0
